Time (min),Concentration (g/L)
20,21.26731008
30,18.82848104
45,13.84510032
60,12.03580153
105,3.544351448
145,3.407392575
1370,6.629530255
1410,7.239838212
1500,9.037123063
1545,8.715149574
2920,16.49537463
2925,18.15570061
2930,16.72604221
