Time (min),Concentration (g/L)
15.0,26.300708822233787
30.0,25.127347723359094
45.0,24.03407953225742
60.0,18.717872732369546
90.0,13.875455528412958
120.0,13.326018181090065
195.0,9.837171118497457
1460.0,13.361259060510191
1485.0,13.201073244964157
1515.0,13.901085258900324
